[9 2 3 6 5 8 1 0 10 4 12 13 14 15 11 7], 7, 9, 16
[5 4 12 13 14 15 11 10 9 2 3 8 1 0 6 7], 9, 6, 15
[10 9 2 3 8 1 0 11 15 14 13 12 4 5 6 7], 10, 6, 16
[11 15 14 13 12 4 5 8 9 2 3 1 0 10 6 7], 9, 7, 16
[3 13 12 4 5 8 1 0 2 9 14 15 11 10 6 7], 7, 9, 16
[3 1 0 2 9 8 5 6 10 4 12 13 14 15 11 7], 7, 9, 16
[4 12 13 14 15 11 10 9 2 3 8 1 0 5 6 7], 10, 6, 16
[9 2 3 8 1 0 10 11 15 14 13 12 4 5 6 7], 10, 6, 16
[14 15 11 10 9 2 3 8 1 0 13 12 4 5 6 7], 10, 6, 16
[3 13 12 4 10 6 5 8 1 0 2 9 14 15 11 7], 5, 11, 16
